Size,TestCase,Algorithm,Cost,TimeMs
10,1,Greedy,339,1
10,1,2-Opt,302,0
10,1,SA,292,40
10,1,GA,292,17
10,1,ACO,292,16
10,1,SeedDNA_N,292,29
10,1,SeedDNA_2N,292,3
10,1,SeedDNA_3N,292,3
10,1,SeedDNA_6N,292,5
10,1,SeedDNA_9N,292,6
10,2,Greedy,304,0
10,2,2-Opt,288,0
10,2,SA,288,29
10,2,GA,288,24
10,2,ACO,288,39
10,2,SeedDNA_N,288,2
10,2,SeedDNA_2N,288,1
10,2,SeedDNA_3N,288,2
10,2,SeedDNA_6N,288,4
10,2,SeedDNA_9N,288,4
10,3,Greedy,264,0
10,3,2-Opt,264,0
10,3,SA,264,21
10,3,GA,264,5
10,3,ACO,264,17
10,3,SeedDNA_N,264,1
10,3,SeedDNA_2N,264,1
10,3,SeedDNA_3N,264,2
10,3,SeedDNA_6N,264,3
10,3,SeedDNA_9N,264,3
10,4,Greedy,369,0
10,4,2-Opt,321,0
10,4,SA,321,21
10,4,GA,321,8
10,4,ACO,321,12
10,4,SeedDNA_N,321,1
10,4,SeedDNA_2N,321,1
10,4,SeedDNA_3N,321,2
10,4,SeedDNA_6N,321,3
10,4,SeedDNA_9N,321,3
10,5,Greedy,446,0
10,5,2-Opt,307,0
10,5,SA,307,20
10,5,GA,307,6
10,5,ACO,307,10
10,5,SeedDNA_N,307,1
10,5,SeedDNA_2N,307,1
10,5,SeedDNA_3N,307,1
10,5,SeedDNA_6N,307,3
10,5,SeedDNA_9N,307,4
10,6,Greedy,318,0
10,6,2-Opt,271,0
10,6,SA,271,21
10,6,GA,271,6
10,6,ACO,271,12
10,6,SeedDNA_N,271,1
10,6,SeedDNA_2N,271,1
10,6,SeedDNA_3N,271,3
10,6,SeedDNA_6N,271,3
10,6,SeedDNA_9N,271,3
10,7,Greedy,431,0
10,7,2-Opt,408,0
10,7,SA,362,22
10,7,GA,362,8
10,7,ACO,362,11
10,7,SeedDNA_N,362,1
10,7,SeedDNA_2N,362,2
10,7,SeedDNA_3N,362,2
10,7,SeedDNA_6N,362,1
10,7,SeedDNA_9N,362,4
10,8,Greedy,320,0
10,8,2-Opt,283,0
10,8,SA,258,20
10,8,GA,258,5
10,8,ACO,258,13
10,8,SeedDNA_N,258,2
10,8,SeedDNA_2N,258,1
10,8,SeedDNA_3N,258,1
10,8,SeedDNA_6N,258,3
10,8,SeedDNA_9N,258,1
10,9,Greedy,366,0
10,9,2-Opt,317,0
10,9,SA,314,23
10,9,GA,314,5
10,9,ACO,314,11
10,9,SeedDNA_N,314,2
10,9,SeedDNA_2N,314,2
10,9,SeedDNA_3N,314,0
10,9,SeedDNA_6N,314,2
10,9,SeedDNA_9N,314,1
10,10,Greedy,299,0
10,10,2-Opt,234,0
10,10,SA,234,20
10,10,GA,235,5
10,10,ACO,234,10
10,10,SeedDNA_N,234,2
10,10,SeedDNA_2N,234,1
10,10,SeedDNA_3N,234,1
10,10,SeedDNA_6N,234,1
10,10,SeedDNA_9N,234,2
10,11,Greedy,309,0
10,11,2-Opt,305,0
10,11,SA,305,25
10,11,GA,305,7
10,11,ACO,305,12
10,11,SeedDNA_N,305,0
10,11,SeedDNA_2N,305,2
10,11,SeedDNA_3N,305,0
10,11,SeedDNA_6N,305,1
10,11,SeedDNA_9N,305,2
10,12,Greedy,254,0
10,12,2-Opt,254,0
10,12,SA,254,19
10,12,GA,254,5
10,12,ACO,254,12
10,12,SeedDNA_N,254,1
10,12,SeedDNA_2N,254,0
10,12,SeedDNA_3N,254,1
10,12,SeedDNA_6N,254,2
10,12,SeedDNA_9N,254,1
20,1,Greedy,384,0
20,1,2-Opt,352,0
20,1,SA,337,28
20,1,GA,337,9
20,1,ACO,338,56
20,1,SeedDNA_N,337,3
20,1,SeedDNA_2N,337,1
20,1,SeedDNA_3N,337,2
20,1,SeedDNA_6N,337,3
20,1,SeedDNA_9N,337,6
20,2,Greedy,479,0
20,2,2-Opt,441,0
20,2,SA,395,26
20,2,GA,437,9
20,2,ACO,395,49
20,2,SeedDNA_N,395,1
20,2,SeedDNA_2N,395,1
